ENTIDAD,NOMBRE ENTIDAD,DISTRITO,DISTRITO LOCAL,MUNICIPIO,SECCION,Contest_id
9,CIUDAD DE MEXICO,2,2,5,1130,102
9,CIUDAD DE MEXICO,2,2,5,1131,102
9,CIUDAD DE MEXICO,2,2,5,1132,102
9,CIUDAD DE MEXICO,2,2,5,1133,102
9,CIUDAD DE MEXICO,2,2,5,1134,102
9,CIUDAD DE MEXICO,2,2,5,1135,102
9,CIUDAD DE MEXICO,2,2,5,1136,102
9,CIUDAD DE MEXICO,2,2,5,1137,102
9,CIUDAD DE MEXICO,2,2,5,1138,102
9,CIUDAD DE MEXICO,2,2,5,1139,102
9,CIUDAD DE MEXICO,2,2,5,1140,102
9,CIUDAD DE MEXICO,2,2,5,1141,102
9,CIUDAD DE MEXICO,2,2,5,1142,102
9,CIUDAD DE MEXICO,2,2,5,1143,102
9,CIUDAD DE MEXICO,2,2,5,1144,102
9,CIUDAD DE MEXICO,2,2,5,1145,102
9,CIUDAD DE MEXICO,2,2,5,1146,102
9,CIUDAD DE MEXICO,2,2,5,1147,102
9,CIUDAD DE MEXICO,2,2,5,1148,102
9,CIUDAD DE MEXICO,2,2,5,1149,102
9,CIUDAD DE MEXICO,2,2,5,1163,102
9,CIUDAD DE MEXICO,2,2,5,1164,102
9,CIUDAD DE MEXICO,2,2,5,1175,102
9,CIUDAD DE MEXICO,2,2,5,1178,102
9,CIUDAD DE MEXICO,2,2,5,1254,102
9,CIUDAD DE MEXICO,2,2,5,1255,102
9,CIUDAD DE MEXICO,2,2,5,1256,102
9,CIUDAD DE MEXICO,2,2,5,1257,102
9,CIUDAD DE MEXICO,2,2,5,1258,102
9,CIUDAD DE MEXICO,2,2,5,1259,102
9,CIUDAD DE MEXICO,2,2,5,1260,102
9,CIUDAD DE MEXICO,2,2,5,1261,102
9,CIUDAD DE MEXICO,2,2,5,1263,102
9,CIUDAD DE MEXICO,2,2,5,1289,102
9,CIUDAD DE MEXICO,2,2,5,1290,102
9,CIUDAD DE MEXICO,2,2,5,1291,102
9,CIUDAD DE MEXICO,2,2,5,1292,102
